name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,size_score,star_planet_interaction,mass_multiplier_squared,radius_multiplier_squared,orbital_radius_squared,orbital_radius_bin,expanded_planet_type,habitable_zone
GJ 179 b,40.0,11.963,Gas Giant,2009,0.82,Jupiter,1.24,Jupiter,2.41,6.3,0.21,Radial Velocity,1.0168,28.83083,0.6723999999999999,1.5376,5.8081000000000005,Close,Gas Giant - Close,Outside
GJ 180 b,39.0,10.914,Neptune-like,2014,6.49,Earth,0.217,Jupiter,0.092,0.04681725,0.07,Radial Velocity,1.40833,1.0040879999999999,42.1201,0.047089,0.008464,Close,Neptune-like - Close,Inside
GJ 180 c,39.0,10.914,Neptune-like,2014,6.4,Earth,0.215,Jupiter,0.129,0.06652977,0.09,Radial Velocity,1.3760000000000001,1.407906,40.96000000000001,0.046224999999999995,0.016641,Close,Neptune-like - Close,Inside
GJ 180 d,39.0,10.914,Neptune-like,2020,7.56,Earth,0.237,Jupiter,0.309,0.29103354,0.14,Radial Velocity,1.7917199999999998,3.372426,57.1536,0.056169,0.095481,Close,Neptune-like - Close,Inside
GJ 2030 b,121.0,6.20902,Super Earth,2022,4.59248,Earth,1.98,Earth,0.034411,0.006570842,0.24,Radial Velocity,9.0931104,0.21365858721999997,21.0908725504,3.9204,0.0011841169209999998,Close,Super Earth - Close,Inside
GJ 2030 c,121.0,6.20902,Gas Giant,2022,12.79888,Jupiter,1.1,Jupiter,16.763449,70.0,0.04,Radial Velocity,14.078768000000002,104.08459010998,163.81132925440002,1.2100000000000002,281.01322237560106,Close,Gas Giant - Close,Outside
GJ 2056 b,93.0,10.37,Neptune-like,2020,16.2,Earth,0.372,Jupiter,0.283,0.19164956,0.72,Radial Velocity,6.0264,2.9347099999999995,262.44,0.138384,0.08008899999999998,Close,Neptune-like - Close,Inside
GJ 229 A c,19.0,8.15,Neptune-like,2020,8.57613,Earth,0.256,Jupiter,0.384214,0.33374402,0.37,Radial Velocity,2.19548928,3.1313441,73.55000577689998,0.065536,0.147620397796,Close,Neptune-like - Close,Inside
GJ 229 b,19.0,8.15,Neptune-like,2014,14.85045,Earth,0.353,Jupiter,1.086215,1.6,0.4,Radial Velocity,5.24220885,8.85265225,220.53586520250002,0.12460899999999998,1.1798630262249998,Close,Neptune-like - Close,On the Edge
GJ 251 b,18.0,9.89,Super Earth,2020,4.0,Earth,1.83,Earth,0.0818,0.03887748,0.1,Radial Velocity,7.32,0.809002,16.0,3.3489000000000004,0.006691239999999999,Close,Super Earth - Close,Inside
GJ 27.1 b,77.0,11.45,Neptune-like,2014,13.0,Earth,0.327,Jupiter,0.101,0.04325804,0.08,Radial Velocity,4.251,1.15645,169.0,0.10692900000000001,0.010201000000000002,Close,Neptune-like - Close,Inside
GJ 273 b,19.0,9.84,Super Earth,2017,2.89,Earth,1.51,Earth,0.091101,0.050924025,0.1,Radial Velocity,4.3639,0.89643384,8.3521,2.2801,0.008299392201,Close,Super Earth - Close,Inside
GJ 273 c,19.0,9.84,Super Earth,2017,1.18,Earth,1.06,Earth,0.036467,0.012867898,0.17,Radial Velocity,1.2508,0.35883528,1.3923999999999999,1.1236000000000002,0.001329842089,Close,Super Earth - Close,Inside
GJ 3021 b,57.0,6.59,Gas Giant,2000,3.37,Jupiter,1.17,Jupiter,0.49,0.36605063,0.51,Radial Velocity,3.9429,3.2291,11.356900000000001,1.3688999999999998,0.24009999999999998,Close,Gas Giant - Close,Inside
GJ 3082 b,54.0,11.041,Neptune-like,2020,8.2,Earth,0.249,Jupiter,0.079,0.032580424,0.22,Radial Velocity,2.0418,0.872239,67.24,0.062001,0.006241,Close,Neptune-like - Close,Inside
GJ 3090 b,73.0,11.403,Neptune-like,2022,3.34,Earth,2.13,Earth,0.03165,0.007939767,0.32,Transit,7.114199999999999,0.36090495,11.1556,4.536899999999999,0.0010017224999999998,Close,Neptune-like - Close,Inside
GJ 3138 b,93.0,10.8275,Super Earth,2017,1.78,Earth,1.18,Earth,0.0197,0.003285421,0.19,Radial Velocity,2.1004,0.21330174999999998,3.1684,1.3923999999999999,0.00038808999999999995,Close,Super Earth - Close,Inside
GJ 3138 c,93.0,10.8275,Super Earth,2017,4.18,Earth,1.88,Earth,0.057,0.016427105,0.11,Radial Velocity,7.858399999999999,0.6171675000000001,17.472399999999997,3.5343999999999998,0.003249,Close,Super Earth - Close,Inside
GJ 3138 d,93.0,10.8275,Neptune-like,2017,10.5,Earth,0.288,Jupiter,0.698,0.7058179,0.32,Radial Velocity,3.0239999999999996,7.557595,110.25,0.08294399999999999,0.4872039999999999,Close,Neptune-like - Close,Inside
GJ 317 b,50.0,12.4,Gas Giant,2007,2.5,Jupiter,1.18,Jupiter,1.151,1.9,0.07,Radial Velocity,2.9499999999999997,14.272400000000001,6.25,1.3923999999999999,1.3248010000000001,Close,Gas Giant - Close,On the Edge
GJ 317 c,50.0,12.4,Gas Giant,2018,1.64396,Jupiter,1.2,Jupiter,5.23,18.5,0.17,Radial Velocity,1.972752,64.852,2.7026044816000003,1.44,27.352900000000005,Close,Gas Giant - Close,Outside
GJ 3222 b,59.0,6.9,Neptune-like,2022,11.73969,Earth,0.308,Jupiter,0.091179,0.029295003,0.93,Radial Velocity,3.61582452,0.6291351000000001,137.8203212961,0.094864,0.008313610041,Close,Neptune-like - Close,Inside
