name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,size_score,star_planet_interaction,mass_multiplier_squared,radius_multiplier_squared,orbital_radius_squared,orbital_radius_bin,expanded_planet_type,habitable_zone
K2-382 b,908.0,12.977,Super Earth,2022,4.95,Earth,2.072,Earth,,0.059411366,0.0,Transit,10.256400000000001,,24.5025,4.293184,,nan,Super Earth - nan,
K2-383 b,665.0,12.689,Super Earth,2022,3.07,Earth,1.564,Earth,,0.005201916,0.0,Transit,4.80148,,9.4249,2.4460960000000003,,nan,Super Earth - nan,
K2-384 b,270.0,16.12,Super Earth,2022,1.26,Earth,1.076,Earth,,0.006023272,0.0,Transit,1.35576,,1.5876000000000001,1.1577760000000001,,nan,Super Earth - nan,
K2-384 c,270.0,16.12,Super Earth,2022,1.82,Earth,1.191,Earth,,0.011498973,0.0,Transit,2.1676200000000003,,3.3124000000000002,1.418481,,nan,Super Earth - nan,
K2-384 d,270.0,16.12,Super Earth,2022,2.52,Earth,1.392,Earth,,0.0183436,0.0,Transit,3.50784,,6.3504000000000005,1.9376639999999998,,nan,Super Earth - nan,
K2-384 e,270.0,16.12,Super Earth,2022,2.37,Earth,1.345,Earth,,0.026557151,0.0,Transit,3.18765,,5.6169,1.8090249999999999,,nan,Super Earth - nan,
K2-384 f,270.0,16.12,Neptune-like,2022,5.57,Earth,2.222,Earth,,0.037234772,0.0,Transit,12.37654,,31.024900000000002,4.937284,,nan,Neptune-like - nan,
K2-385 b,1373.0,14.645,Super Earth,2022,2.98,Earth,1.539,Earth,,0.006570842,0.0,Transit,4.58622,,8.8804,2.368521,,nan,Super Earth - nan,
K2-386 b,1399.0,13.241,Neptune-like,2022,5.99,Earth,0.207,Jupiter,,0.02053388,0.0,Transit,1.23993,,35.880100000000006,0.042849,,nan,Neptune-like - nan,
K2-387 b,869.0,16.147,Gas Giant,2022,0.133,Jupiter,0.653,Jupiter,,0.07857632,0.0,Transit,0.08684900000000001,,0.017689000000000003,0.42640900000000004,,nan,Gas Giant - nan,
K2-388 b,948.0,12.861,Neptune-like,2022,13.0,Earth,0.327,Jupiter,,0.017248461,0.0,Transit,4.251,,169.0,0.10692900000000001,,nan,Neptune-like - nan,
K2-389 b,846.0,11.827,Neptune-like,2022,5.41,Earth,2.184,Earth,,0.023545519,0.0,Transit,11.81544,,29.2681,4.769856000000001,,nan,Neptune-like - nan,
K2-389 c,846.0,11.827,Super Earth,2022,4.82,Earth,2.04,Earth,,0.05722108,0.0,Transit,9.8328,,23.232400000000002,4.1616,,nan,Super Earth - nan,
K2-38 b,629.0,11.344,Super Earth,2016,7.3,Earth,1.54,Earth,0.04994,0.0109514035,0.2,Transit,11.241999999999999,0.5665193599999999,53.29,2.3716,0.0024940035999999996,Close,Super Earth - Close,Inside
K2-38 c,629.0,11.344,Super Earth,2016,8.3,Earth,0.204,Jupiter,0.09514,0.02902122,0.16,Transit,1.6932,1.07926816,68.89000000000001,0.04161599999999999,0.0090516196,Close,Super Earth - Close,Inside
K2-390 b,1488.0,13.611,Neptune-like,2022,19.6,Earth,0.416,Jupiter,,0.009034907,0.0,Transit,8.1536,,384.1600000000001,0.173056,,nan,Neptune-like - nan,
K2-391 b,1657.0,12.527,Super Earth,2022,2.45,Earth,1.371,Earth,,0.012594113,0.0,Transit,3.35895,,6.002500000000001,1.879641,,nan,Super Earth - nan,
K2-392 b,1328.0,12.922,Super Earth,2022,4.08,Earth,1.85,Earth,,0.042162903,0.0,Transit,7.548000000000001,,16.6464,3.4225000000000003,,nan,Super Earth - nan,
K2-393 b,867.0,11.84,Neptune-like,2022,6.13,Earth,0.21,Jupiter,,0.028473647,0.0,Transit,1.2872999999999999,,37.5769,0.04409999999999999,,nan,Neptune-like - nan,
K2-394 b,320.0,12.768,Super Earth,2022,3.51,Earth,1.692,Earth,,0.013963039,0.0,Transit,5.9389199999999995,,12.320099999999998,2.8628639999999996,,nan,Super Earth - nan,
K2-395 b,935.0,15.131,Neptune-like,2022,7.26,Earth,0.232,Jupiter,,0.013141684,0.0,Transit,1.68432,,52.7076,0.053824000000000004,,nan,Neptune-like - nan,
K2-395 c,935.0,15.131,Neptune-like,2022,11.4,Earth,0.303,Jupiter,,0.023271732,0.0,Transit,3.4542,,129.96,0.091809,,nan,Neptune-like - nan,
K2-396 b,897.0,13.32,Super Earth,2022,3.12,Earth,1.579,Earth,,0.0019164955,0.0,Transit,4.92648,,9.7344,2.493241,,nan,Super Earth - nan,
K2-396 c,897.0,13.32,Neptune-like,2022,9.93,Earth,0.279,Jupiter,,0.07063655,0.0,Transit,2.77047,,98.6049,0.07784100000000002,,nan,Neptune-like - nan,
K2-397 b,650.0,11.865,Neptune-like,2022,6.42,Earth,0.216,Jupiter,,0.009856262,0.0,Transit,1.38672,,41.2164,0.046655999999999996,,nan,Neptune-like - nan,
K2-398 b,1980.0,13.287,Neptune-like,2022,5.79,Earth,0.203,Jupiter,,0.017522246,0.0,Transit,1.17537,,33.5241,0.041209,,nan,Neptune-like - nan,
K2-398 c,1980.0,13.287,Neptune-like,2022,22.8,Earth,0.455,Jupiter,,0.05147159,0.0,Transit,10.374,,519.84,0.20702500000000001,,nan,Neptune-like - nan,
K2-399 b,1682.0,12.478,Neptune-like,2022,30.5,Earth,0.54,Jupiter,,0.0021902807,0.0,Transit,16.470000000000002,,930.25,0.2916,,nan,Neptune-like - nan,
K2-39 b,1003.0,10.831,Neptune-like,2016,28.6047,Earth,0.56,Jupiter,0.05708,0.012594113,0.0,Transit,16.018632000000004,0.61823348,818.2288620900001,0.31360000000000005,0.0032581263999999998,Close,Neptune-like - Close,Inside
K2-3 b,144.0,12.168,Super Earth,2015,6.48,Earth,1.98,Earth,0.074,0.027652293,0.0,Transit,12.830400000000001,0.9004319999999999,41.99040000000001,3.9204,0.005475999999999999,Close,Super Earth - Close,Inside
K2-3 c,144.0,12.168,Super Earth,2015,2.14,Earth,1.56,Earth,0.1345,0.06735113,0.0,Transit,3.3384000000000005,1.636596,4.5796,2.4336,0.018090250000000002,Close,Super Earth - Close,Inside
K2-3 d,144.0,12.168,Super Earth,2015,2.80007,Earth,1.53,Earth,0.2097,0.12210814,0.0,Transit,4.2841071,2.5516295999999996,7.840392004899999,2.3409,0.04397409,Close,Super Earth - Close,Inside
K2-400 b,203.0,15.108,Super Earth,2022,1.67,Earth,1.163,Earth,,0.010677618,0.0,Transit,1.94221,,2.7889,1.3525690000000001,,nan,Super Earth - nan,
K2-401 b,655.0,14.014,Neptune-like,2022,5.74,Earth,0.202,Jupiter,,0.017248461,0.0,Transit,1.15948,,32.9476,0.04080400000000001,,nan,Neptune-like - nan,
K2-402 b,1706.0,13.032,Neptune-like,2022,7.65,Earth,0.239,Jupiter,,0.047364816,0.0,Transit,1.82835,,58.52250000000001,0.057121,,nan,Neptune-like - nan,
K2-403 b,804.0,12.305,Neptune-like,2022,24.6,Earth,0.476,Jupiter,,0.09199178,0.0,Transit,11.7096,,605.1600000000001,0.22657599999999997,,nan,Neptune-like - nan,
K2-404 b,397.0,14.622,Neptune-like,2022,6.94,Earth,0.226,Jupiter,,0.035865847,0.0,Transit,1.56844,,48.1636,0.051076,,nan,Neptune-like - nan,
K2-405 b,643.0,12.816,Neptune-like,2022,18.9,Earth,0.408,Jupiter,,0.009308693,0.0,Transit,7.711199999999999,,357.2099999999999,0.16646399999999997,,nan,Neptune-like - nan,
K2-406 b,278.0,9.465,Neptune-like,2022,19.2,Earth,0.411,Jupiter,,0.061601643,0.0,Transit,7.8911999999999995,,368.64,0.168921,,nan,Neptune-like - nan,
K2-407 b,712.0,11.969,Super Earth,2022,2.19,Earth,1.283,Earth,,0.013415469,0.0,Transit,2.80977,,4.7961,1.6460889999999997,,nan,Super Earth - nan,
K2-407 c,712.0,11.969,Super Earth,2022,2.42,Earth,1.36,Earth,,0.025188226,0.0,Transit,3.2912000000000003,,5.8564,1.8496000000000004,,nan,Super Earth - nan,
K2-408 b,529.0,12.056,Super Earth,2022,3.45,Earth,1.677,Earth,,0.057494868,0.0,Transit,5.78565,,11.902500000000002,2.812329,,nan,Super Earth - nan,
K2-409 b,1406.0,12.902,Neptune-like,2022,6.72,Earth,0.221,Jupiter,,0.005201916,0.0,Transit,1.48512,,45.15839999999999,0.048841,,nan,Neptune-like - nan,
K2-411 b,973.0,12.27,Terrestrial,2022,0.937,Earth,0.99,Earth,0.0511,0.008761123,0.0,Transit,0.9276300000000001,0.626997,0.8779690000000001,0.9801,0.00261121,Close,Terrestrial - Close,Inside
K2-412 b,2134.0,15.746,Neptune-like,2022,5.13,Earth,2.116,Earth,0.0586,0.01615332,0.0,Transit,10.855080000000001,0.9227156,26.3169,4.477456,0.00343396,Close,Neptune-like - Close,Inside
K2-413 b,930.0,15.013,Terrestrial,2022,0.363,Earth,0.76,Earth,0.0117,0.0021902807,0.0,Transit,0.27588,0.1756521,0.131769,0.5776,0.00013689,Close,Terrestrial - Close,Inside
K2-413 c,930.0,15.013,Super Earth,2022,2.05,Earth,1.233,Earth,0.0426,0.01451061,0.0,Transit,2.52765,0.6395538,4.2025,1.5202890000000002,0.00181476,Close,Super Earth - Close,Inside
K2-414 b,848.0,14.289,Super Earth,2022,1.98,Earth,1.219,Earth,0.0487,0.012046544,0.0,Transit,2.4136200000000003,0.6958743,3.9204,1.4859610000000003,0.00237169,Close,Super Earth - Close,Inside
K2-414 c,848.0,14.289,Super Earth,2022,4.38,Earth,1.929,Earth,0.0552,0.0183436,0.0,Transit,8.44902,0.7887527999999999,19.1844,3.721041,0.00304704,Close,Super Earth - Close,Inside
K2-42 b,1295.0,15.006,Neptune-like,2016,5.27,Earth,2.15,Earth,0.0617,0.0183436,0.0,Transit,11.330499999999999,0.9258702,27.772899999999996,4.6225,0.00380689,Close,Neptune-like - Close,Inside
K2-43 b,595.0,15.748,Neptune-like,2016,18.5,Earth,0.402,Jupiter,0.03784,0.009582478,0.07,Transit,7.437,0.5959043199999999,342.25,0.16160400000000003,0.0014318655999999998,Close,Neptune-like - Close,Inside
K2-43 c,595.0,15.748,Neptune-like,2019,6.44,Earth,0.216,Jupiter,,0.006023272,0.0,Transit,1.39104,,41.473600000000005,0.046655999999999996,,nan,Neptune-like - nan,
K2-44 b,1555.0,12.27,Neptune-like,2016,6.5,Earth,0.217,Jupiter,0.06,0.015605749,0.0,Transit,1.4105,0.7362,42.25,0.047089,0.0036,Close,Neptune-like - Close,Inside
K2-45 b,1616.0,15.746,Neptune-like,2016,36.4,Earth,0.599,Jupiter,0.0224,0.0046543465,0.1,Transit,21.8036,0.3527104,1324.9599999999998,0.358801,0.00050176,Close,Neptune-like - Close,Inside
K2-46 b,1465.0,12.144,Super Earth,2016,4.86,Earth,2.05,Earth,0.13821,0.052566737,0.0,Transit,9.963,1.67842224,23.619600000000002,4.2025,0.0191020041,Close,Super Earth - Close,Inside
K2-47 b,1141.0,14.065,Super Earth,2016,4.23,Earth,1.89,Earth,0.1779,0.08651608,0.0,Transit,7.994700000000001,2.5021635,17.892900000000004,3.5721,0.03164841,Close,Super Earth - Close,Inside
K2-48 b,1023.0,14.345,Neptune-like,2016,5.65,Earth,0.2,Jupiter,0.1344,0.056125943,0.0,Transit,1.1300000000000001,1.927968,31.922500000000003,0.04000000000000001,0.018063359999999997,Close,Neptune-like - Close,Inside
K2-49 b,1491.0,15.668,Super Earth,2016,4.38,Earth,1.93,Earth,0.0309,0.007665982,0.0,Transit,8.4534,0.4841412,19.1844,3.7249,0.0009548100000000001,Close,Super Earth - Close,Inside
K2-4 b,756.0,14.855,Neptune-like,2015,5.06,Earth,2.1,Earth,0.078,0.027378507,0.08,Transit,10.626,1.15869,25.603599999999997,4.41,0.006084,Close,Neptune-like - Close,Inside
K2-50 b,840.0,14.705,Super Earth,2016,3.15,Earth,1.59,Earth,0.0705,0.024093088,0.0,Transit,5.0085,1.0367024999999999,9.9225,2.5281000000000002,0.004970249999999999,Close,Super Earth - Close,Inside
K2-52 b,3387.0,15.93,Gas Giant,2016,144.0,Jupiter,1.606,Jupiter,0.054,0.009582478,0.0,Transit,231.264,0.86022,20736.0,2.5792360000000003,0.0029159999999999998,Close,Gas Giant - Close,Inside
K2-53 b,450.0,12.634,Neptune-like,2016,7.27,Earth,0.232,Jupiter,0.098,0.03340178,0.0,Transit,1.68664,1.238132,52.85289999999999,0.053824000000000004,0.009604000000000001,Close,Neptune-like - Close,Inside
K2-54 b,571.0,14.542,Super Earth,2016,1.6,Earth,1.15,Earth,0.0671,0.026830938,0.0,Transit,1.8399999999999999,0.9757682000000001,2.5600000000000005,1.3224999999999998,0.004502410000000001,Close,Super Earth - Close,Inside
K2-55 b,520.0,13.519,Neptune-like,2016,14.0,Earth,0.341,Jupiter,0.03486,0.007665982,0.07,Transit,4.774,0.47127234,196.0,0.11628100000000002,0.0012152196000000002,Close,Neptune-like - Close,Inside
K2-57 b,862.0,14.414,Neptune-like,2016,5.06,Earth,2.1,Earth,0.0746,0.024640657,0.0,Transit,10.626,1.0752844,25.603599999999997,4.41,0.0055651599999999996,Close,Neptune-like - Close,Inside
K2-58 b,593.0,12.415,Neptune-like,2016,7.65,Earth,0.239,Jupiter,0.0692,0.01943874,0.0,Transit,1.82835,0.8591179999999999,58.52250000000001,0.057121,0.004788639999999999,Close,Neptune-like - Close,Inside
K2-58 c,593.0,12.415,Super Earth,2016,3.26,Earth,1.62,Earth,0.035,0.0068446267,0.0,Transit,5.2812,0.434525,10.6276,2.6244000000000005,0.0012250000000000002,Close,Super Earth - Close,Inside
K2-58 d,593.0,12.415,Super Earth,2016,3.57,Earth,1.71,Earth,0.1517,0.062696785,0.0,Transit,6.104699999999999,1.8833555,12.7449,2.9240999999999997,0.02301289,Close,Super Earth - Close,Inside
K2-59 b,1016.0,14.266,Neptune-like,2016,6.39,Earth,0.215,Jupiter,0.1354,0.056673512,0.0,Transit,1.37385,1.9316163999999998,40.8321,0.046224999999999995,0.018333159999999998,Close,Neptune-like - Close,Inside
K2-59 c,1016.0,14.266,Neptune-like,2016,5.9,Earth,0.205,Jupiter,0.0905,0.030937715,0.0,Transit,1.2095,1.291073,34.81,0.04202499999999999,0.00819025,Close,Neptune-like - Close,Inside
K2-5 b,662.0,14.974,Super Earth,2015,4.31,Earth,1.91,Earth,0.0532,0.015605749,0.0,Transit,8.232099999999999,0.7966168,18.576099999999997,3.6481,0.00283024,Close,Super Earth - Close,Inside
K2-5 c,662.0,14.974,Neptune-like,2015,5.73,Earth,0.202,Jupiter,0.0818,0.029842572,0.0,Transit,1.1574600000000002,1.2248732,32.8329,0.04080400000000001,0.006691239999999999,Close,Neptune-like - Close,Inside
K2-60 b,1604.0,12.857,Gas Giant,2016,0.426,Jupiter,0.683,Jupiter,0.045,0.008213553,0.0,Transit,0.290958,0.578565,0.181476,0.4664890000000001,0.002025,Close,Gas Giant - Close,Inside
K2-61 b,1323.0,13.173,Neptune-like,2016,6.71,Earth,0.221,Jupiter,0.0392,0.007118412,0.0,Transit,1.48291,0.5163816,45.0241,0.048841,0.00153664,Close,Neptune-like - Close,Inside
K2-62 b,367.0,12.391,Neptune-like,2016,5.22,Earth,2.14,Earth,0.0636,0.0183436,0.0,Transit,11.1708,0.7880676000000001,27.248399999999997,4.5796,0.00404496,Close,Neptune-like - Close,Inside
K2-62 c,367.0,12.391,Neptune-like,2016,5.22,Earth,2.14,Earth,0.1148,0.044353183,0.0,Transit,11.1708,1.4224868,27.248399999999997,4.5796,0.01317904,Close,Neptune-like - Close,Inside
K2-63 b,1688.0,12.98,Neptune-like,2016,10.5,Earth,0.287,Jupiter,0.1627,0.05557837,0.0,Transit,3.0134999999999996,2.1118460000000003,110.25,0.08236899999999998,0.026471290000000005,Close,Neptune-like - Close,Inside
K2-63 c,1688.0,12.98,Neptune-like,2016,14.5,Earth,0.348,Jupiter,0.189,0.069815196,0.0,Transit,5.045999999999999,2.45322,210.25,0.12110399999999999,0.035721,Close,Neptune-like - Close,Inside
K2-64 b,1631.0,14.132,Super Earth,2016,4.94,Earth,2.07,Earth,0.0619,0.01779603,0.0,Transit,10.2258,0.8747708,24.403600000000004,4.2848999999999995,0.0038316099999999996,Close,Super Earth - Close,Inside
K2-65 b,236.0,10.71,Super Earth,2016,3.12,Earth,1.58,Earth,0.1014,0.034496922,0.0,Transit,4.929600000000001,1.0859940000000001,9.7344,2.4964000000000004,0.010281960000000001,Close,Super Earth - Close,Inside
K2-66 b,1676.0,11.71,Super Earth,2016,21.3,Earth,0.222,Jupiter,0.05983,0.013963039,0.0,Transit,4.7286,0.7006093000000001,453.69000000000005,0.049284,0.0035796289,Close,Super Earth - Close,Inside
K2-68 b,550.0,12.987,Super Earth,2016,3.12,Earth,1.58,Earth,0.0708,0.022176592,0.0,Transit,4.929600000000001,0.9194796000000001,9.7344,2.4964000000000004,0.0050126400000000005,Close,Super Earth - Close,Inside
K2-69 b,589.0,16.024,Neptune-like,2016,5.99,Earth,0.207,Jupiter,0.0591,0.01943874,0.0,Transit,1.23993,0.9470184,35.880100000000006,0.042849,0.00349281,Close,Neptune-like - Close,Inside
K2-6 b,1033.0,12.66,Neptune-like,2015,6.8,Earth,0.223,Jupiter,0.1898,0.08459959,0.0,Transit,1.5164,2.402868,46.239999999999995,0.049729,0.03602404,Close,Neptune-like - Close,Inside
K2-70 b,760.0,13.074,Neptune-like,2016,8.7,Earth,0.258,Jupiter,0.1112,0.03832991,0.0,Transit,2.2445999999999997,1.4538288,75.68999999999998,0.066564,0.012365439999999998,Close,Neptune-like - Close,Inside
K2-71 b,500.0,16.14,Neptune-like,2016,5.27,Earth,2.15,Earth,0.0559,0.019164955,0.0,Transit,11.330499999999999,0.902226,27.772899999999996,4.6225,0.00312481,Close,Neptune-like - Close,Inside
K2-72 b,217.0,15.37,Super Earth,2016,1.28,Earth,1.08,Earth,0.04,0.015331964,0.11,Transit,1.3824,0.6148,1.6384,1.1664,0.0016,Close,Super Earth - Close,Inside
K2-72 c,217.0,15.37,Super Earth,2016,1.65,Earth,1.16,Earth,0.078,0.04161533,0.11,Transit,1.9139999999999997,1.19886,2.7224999999999997,1.3456,0.006084,Close,Super Earth - Close,Inside
K2-72 d,217.0,15.37,Super Earth,2016,1.01,Earth,1.01,Earth,0.05,0.021355236,0.11,Transit,1.0201,0.7685,1.0201,1.0201,0.0025000000000000005,Close,Super Earth - Close,Inside
K2-72 e,217.0,15.37,Super Earth,2016,2.21,Earth,1.29,Earth,0.106,0.066255994,0.11,Transit,2.8509,1.62922,4.8841,1.6641000000000001,0.011236,Close,Super Earth - Close,Inside
K2-73 b,878.0,11.345,Neptune-like,2016,6.57,Earth,0.219,Jupiter,0.07619,0.02053388,0.0,Transit,1.43883,0.86437555,43.1649,0.047961,0.005804916099999999,Close,Neptune-like - Close,Inside
K2-74 b,1232.0,12.715,Neptune-like,2016,5.95,Earth,0.206,Jupiter,0.1402,0.053661875,0.0,Transit,1.2257,1.782643,35.4025,0.042435999999999995,0.019656039999999996,Close,Neptune-like - Close,Inside
K2-75 b,1833.0,12.803,Neptune-like,2016,7.61,Earth,0.238,Jupiter,0.081,0.021355236,0.0,Transit,1.81118,1.0370430000000002,57.9121,0.05664399999999999,0.006561,Close,Neptune-like - Close,Inside
K2-75 c,1833.0,12.803,Neptune-like,2016,8.1,Earth,0.247,Jupiter,0.1429,0.050102666,0.0,Transit,2.0006999999999997,1.8295487000000001,65.61,0.061009,0.02042041,Close,Neptune-like - Close,Inside
K2-77 b,462.0,12.224,Neptune-like,2016,1.9,Jupiter,0.205,Jupiter,0.076,0.022450376,0.14,Transit,0.38949999999999996,0.929024,3.61,0.04202499999999999,0.005776,Close,Neptune-like - Close,Inside
K2-79 b,835.0,12.152,Neptune-like,2016,15.4,Earth,0.361,Jupiter,0.0987,0.030116359,0.0,Transit,5.5594,1.1994023999999999,237.16000000000003,0.130321,0.009741689999999999,Close,Neptune-like - Close,Inside
K2-7 b,2409.0,13.453,Neptune-like,2015,7.61,Earth,0.238,Jupiter,0.1814,0.07857632,0.0,Transit,1.81118,2.4403742,57.9121,0.05664399999999999,0.032905960000000005,Close,Neptune-like - Close,Inside
K2-80 b,655.0,12.694,Super Earth,2016,4.7,Earth,2.01,Earth,0.135,0.05229295,0.0,Transit,9.447,1.7136900000000002,22.090000000000003,4.040099999999999,0.018225,Close,Super Earth - Close,Inside
K2-80 c,655.0,12.694,Super Earth,2016,2.76,Earth,1.47,Earth,0.0596,0.015331964,0.0,Transit,4.0572,0.7565624000000001,7.617599999999999,2.1609,0.00355216,Close,Super Earth - Close,Inside
K2-80 d,655.0,12.694,Neptune-like,2018,7.04,Earth,0.228,Jupiter,,0.079123884,0.0,Transit,1.60512,,49.5616,0.051984,,nan,Neptune-like - nan,
K2-81 b,823.0,14.314,Super Earth,2016,4.54,Earth,1.97,Earth,0.059,0.01670089,0.06,Transit,8.9438,0.844526,20.6116,3.8809,0.0034809999999999997,Close,Super Earth - Close,Inside
K2-83 b,409.0,14.522,Super Earth,2016,2.08,Earth,1.244,Earth,0.03014,0.0073921974,0.07,Transit,2.58752,0.43769308,4.3264000000000005,1.547536,0.0009084196,Close,Super Earth - Close,Inside
K2-83 c,409.0,14.522,Super Earth,2016,2.8,Earth,1.483,Earth,0.07131,0.027378507,0.06,Transit,4.1524,1.03556382,7.839999999999999,2.1992890000000003,0.005085116099999999,Close,Super Earth - Close,Inside
K2-84 b,929.0,13.386,Neptune-like,2016,6.39,Earth,0.215,Jupiter,0.0665,0.017522246,0.0,Transit,1.37385,0.890169,40.8321,0.046224999999999995,0.004422250000000001,Close,Neptune-like - Close,Inside
K2-84 c,929.0,13.386,Super Earth,2016,4.78,Earth,2.03,Earth,0.1768,0.076386034,0.0,Transit,9.7034,2.3666448,22.8484,4.120899999999999,0.03125824000000001,Close,Super Earth - Close,Inside
K2-85 b,317.0,12.416,Super Earth,2016,1.87,Earth,1.2,Earth,0.013,0.0019164955,0.24,Transit,2.244,0.161408,3.4969000000000006,1.44,0.000169,Close,Super Earth - Close,Inside
K2-86 b,844.0,13.041,Super Earth,2016,4.5,Earth,1.96,Earth,0.077,0.024093088,0.0,Transit,8.82,1.004157,20.25,3.8415999999999997,0.005929,Close,Super Earth - Close,Inside
K2-87 b,1602.0,14.136,Gas Giant,2016,0.141,Jupiter,0.678,Jupiter,0.094,0.026557151,0.0,Transit,0.095598,1.328784,0.019880999999999996,0.45968400000000004,0.008836,Close,Gas Giant - Close,Inside
K2-88 b,361.0,15.523,Super Earth,2016,2.04,Earth,1.23,Earth,0.0345,0.012594113,0.26,Transit,2.5092,0.5355435000000001,4.1616,1.5129,0.0011902500000000001,Close,Super Earth - Close,Inside
K2-89 b,281.0,14.162,Terrestrial,2016,0.17,Earth,0.615,Earth,0.01462,0.003011636,0.15,Transit,0.10455,0.20704844,0.028900000000000006,0.378225,0.00021374439999999998,Close,Terrestrial - Close,Inside
K2-8 b,1316.0,14.801,Neptune-like,2015,12.5,Earth,0.319,Jupiter,0.0856,0.028473647,0.0,Transit,3.9875000000000003,1.2669656,156.25,0.101761,0.007327359999999999,Close,Neptune-like - Close,Inside
K2-8 c,1316.0,14.801,Neptune-like,2016,6.39,Earth,0.215,Jupiter,0.0532,0.013963039,0.0,Transit,1.37385,0.7874131999999999,40.8321,0.046224999999999995,0.00283024,Close,Neptune-like - Close,Inside
K2-90 b,438.0,13.707,Neptune-like,2016,7.27,Earth,0.232,Jupiter,0.096,0.037508555,0.07,Transit,1.68664,1.3158720000000002,52.85289999999999,0.053824000000000004,0.009216,Close,Neptune-like - Close,Inside
K2-90 c,438.0,13.707,Super Earth,2016,2.24,Earth,1.3,Earth,0.035,0.007939767,0.19,Transit,2.9120000000000004,0.4797450000000001,5.017600000000001,1.6900000000000002,0.0012250000000000002,Close,Super Earth - Close,Inside
K2-91 b,204.0,15.622,Super Earth,2016,1.37,Earth,1.1,Earth,0.0164,0.003832991,0.09,Transit,1.5070000000000003,0.2562008,1.8769000000000002,1.2100000000000002,0.00026896000000000005,Close,Super Earth - Close,Inside
K2-95 b,587.0,17.236,Neptune-like,2016,11.0,Earth,0.295,Jupiter,0.0525,0.027652293,0.16,Transit,3.2449999999999997,0.90489,121.0,0.08702499999999999,0.0027562499999999996,Close,Neptune-like - Close,Inside
K2-97 b,2865.0,12.486,Gas Giant,2016,0.48,Jupiter,0.947,Jupiter,0.086,0.022997946,0.22,Transit,0.45455999999999996,1.073796,0.2304,0.8968089999999999,0.007395999999999999,Close,Gas Giant - Close,Inside
K2-98 b,1692.0,12.216,Neptune-like,2016,32.2,Earth,0.464,Jupiter,0.0974,0.027652293,0.0,Transit,14.940800000000001,1.1898384,1036.8400000000001,0.21529600000000002,0.00948676,Close,Neptune-like - Close,Inside
K2-99 b,1694.0,11.149,Gas Giant,2016,0.97,Jupiter,1.046,Jupiter,0.1597,0.050102666,0.19,Transit,1.01462,1.7804953,0.9409,1.094116,0.025504090000000004,Close,Gas Giant - Close,Inside
K2-9 b,271.0,15.86,Neptune-like,2015,5.69,Earth,0.201,Jupiter,0.091,0.050376453,0.0,Transit,1.14369,1.44326,32.3761,0.040401000000000006,0.008281,Close,Neptune-like - Close,Inside
Kappa Andromedae b,163.0,4.13791,Gas Giant,2012,13.616,Jupiter,1.1,Jupiter,55.0,253.1,0.0,Direct Imaging,14.9776,227.58505,185.395456,1.2100000000000002,3025.0,Close,Gas Giant - Close,Outside
Kappa Coronae Borealis b,98.0,4.79734,Gas Giant,2007,2.0,Jupiter,1.19,Jupiter,2.76,3.4,0.06,Radial Velocity,2.38,13.2406584,4.0,1.4161,7.617599999999999,Close,Gas Giant - Close,Outside
Kapteyn c,13.0,8.86,Neptune-like,2014,7.0,Earth,0.227,Jupiter,0.311,0.33264887,0.23,Radial Velocity,1.589,2.75546,49.0,0.051529000000000005,0.096721,Close,Neptune-like - Close,Inside
KELT-10 b,615.0,10.617,Gas Giant,2016,0.679,Jupiter,1.399,Jupiter,0.0525,0.011498973,0.0,Transit,0.9499210000000001,0.5573925000000001,0.4610410000000001,1.957201,0.0027562499999999996,Close,Gas Giant - Close,Inside
KELT-11 b,323.0,8.04,Gas Giant,2017,0.171,Jupiter,1.35,Jupiter,0.06229,0.012867898,0.0,Transit,0.23085000000000003,0.5008115999999999,0.029241000000000003,1.8225000000000002,0.0038800440999999996,Close,Gas Giant - Close,Inside
KELT-12 b,1201.0,10.585,Gas Giant,2017,0.95,Jupiter,1.78,Jupiter,0.06708,0.0136892535,0.0,Transit,1.6909999999999998,0.7100418000000001,0.9025,3.1684,0.0044997264,Close,Gas Giant - Close,Inside
KELT-14 b,816.0,11.001,Gas Giant,2016,1.284,Jupiter,1.743,Jupiter,0.03005,0.0046543465,0.0,Transit,2.2380120000000003,0.33058005,1.6486560000000001,3.0380490000000004,0.0009030025,Close,Gas Giant - Close,Inside
KELT-15 b,1059.0,11.39,Gas Giant,2016,1.31,Jupiter,1.74,Jupiter,0.04613,0.009034907,0.0,Transit,2.2794,0.5254207,1.7161000000000002,3.0276,0.0021279768999999996,Close,Gas Giant - Close,Inside
KELT-16 b,1450.0,11.717,Gas Giant,2017,2.75,Jupiter,1.415,Jupiter,0.02044,0.0027378509,0.0,Transit,3.8912500000000003,0.23949548,7.5625,2.002225,0.0004177936,Close,Gas Giant - Close,Inside
KELT-17 b,739.0,9.234,Gas Giant,2016,1.31,Jupiter,1.525,Jupiter,0.04881,0.008487337,0.0,Transit,1.99775,0.45071153999999997,1.7161000000000002,2.3256249999999996,0.0023824161,Close,Gas Giant - Close,Inside
