name,distance,stellar_magnitude,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,size_score,star_planet_interaction,orbital_radius_bin,habitable_zone,planet_surface_temperature,atmospheric_pressure,biosignature_potential,radiation_exposure,approximated_mass,approximated_radius,planet_gravity,climate_stability,possibility_of_moon,planetary_composition_hypothesis,atmospheric_density,normalized_orbital_radius,energy_receipt_score,planetary_energy_receipt,combined_planetary_composition_hypothesis
HIP 74890 b,257.0,7.05,2016,2.4,1.898e+27,1.18,71492.0,2.1,2.3,0.07,Radial Velocity,2.832,14.805,>2,No,Cold,Low,Medium,Low,4.5552e+27,84360.56,42718376.99480469,Low,High,Unknown,Medium,0.9997208098549912,1.140970981330596,Extremely Low,Shadow World
HIP 75056 A b,408.0,7.78,2021,25.0,1.898e+27,2.0,71492.0,30.0,128.8,0.5,Direct Imaging,50.0,233.4,>2,No,Cold,Low,Medium,Low,4.745e+28,142984.0,154898614.91553658,Low,High,Unknown,Medium,0.9960037812971806,1.153944244967216,Extremely Low,Iron World
HIP 75092 b,266.0,7.11,2021,1.79,1.898e+27,1.2,71492.0,2.02,2.5,0.42,Radial Velocity,2.148,14.3622,>2,No,Cold,Low,Medium,Low,3.39742e+27,85790.4,30807613.41097895,Low,High,Unknown,Medium,0.9997314680013936,1.1423534443148966,Extremely Low,Magnetic World
HIP 78530 b,446.0,7.1691,2010,23.0,1.898e+27,1.07,71492.0,740.0,12738.7,0.0,Direct Imaging,24.610000000000003,5305.134,>2,No,Cold,Low,Medium,Low,4.3654e+28,76496.44,497883573.1410382,Low,High,Unknown,Medium,0.9014127319765548,1.045385936055388,Extremely Low,Iron World
HIP 79098 AB b,476.0,5.86,2019,20.5,1.898e+27,1.08,71492.0,345.0,3311.0,0.0,Direct Imaging,22.14,2021.7,>2,No,Cold,Low,Medium,Low,3.8909e+28,77211.36,435585954.1520576,Low,High,Unknown,Medium,0.9540373298380298,1.0680800386953164,Extremely Low,Iron World
HIP 79431 b,47.0,11.394,2009,2.1,1.898e+27,1.19,71492.0,0.36,0.30581793,0.29,Radial Velocity,2.499,4.10184,<0.5,No,Temperate,Low,Medium,Low,3.9857999999999996e+27,85075.48,36753007.9878683,Unknown,High,Unknown,Medium,0.9999526245392416,1.2405214662786903,Low,Mirror World
HIP 8541 b,506.0,7.88,2016,8.24857,1.898e+27,1.12,71492.0,3.736626,5.1,0.36,Radial Velocity,9.2383984,29.44461288,>2,No,Cold,Low,Medium,Low,1.565578586e+28,80071.04000000001,162970927.04513362,Low,High,Unknown,Medium,0.999502767361068,1.1597295724276004,Very Low,Iron World
HIP 86221 b,96.0,9.25,2021,0.71,1.898e+27,1.25,71492.0,0.031,0.006023272,0.09,Radial Velocity,0.8875,0.28675,<0.5,No,Temperate,Low,Medium,Medium,1.34758e+27,89365.0,11261748.89881917,Unknown,Medium,Unknown,Low,0.9999964561663212,1.1915461383648671,Very Low,Shadow World
HIP 90988 b,307.0,7.75,2021,2.09892,1.898e+27,1.19,71492.0,1.359652,1.2476386,0.08,Radial Velocity,2.4977148,10.537303,1-2,Yes,Temperate,Low,Medium,Low,3.98375016e+27,85075.48,36734106.44090311,Unknown,High,Unknown,Medium,0.9998194440721496,1.1570740053232356,Very Low,Tidally Locked World
HIP 91258 b,150.0,8.65,2013,1.09,1.898e+27,1.23,71492.0,0.06,0.013963039,0.02,Radial Velocity,1.3407,0.519,<0.5,No,Temperate,Low,Medium,Medium,2.06882e+27,87935.16,17855984.163705193,Unknown,High,Unknown,Medium,0.9999925925882504,1.1778242264078125,Very Low,Shadow World
HIP 94235 b,191.0,8.31,2022,1.19247,1.898e+27,0.268,71492.0,0.0787,0.021081451,0.32,Transit,0.31958196,0.653997,<0.5,No,Hot,Unknown,Unknown,Medium,2.26330806e+27,19159.856,411476835.21570486,Low,High,Unknown,Medium,0.9999901012465288,1.170048174318,Very Low,Iron World
HIP 948 b,114.0,9.92,2022,20.17031,1.898e+27,1.08,71492.0,14.91853,68.4,0.23,Radial Velocity,21.7839348,147.9918176,>2,No,Cold,Low,Medium,Low,3.828324838e+28,77211.36,428580669.6045264,Low,High,Unknown,Medium,0.9980130377374588,1.2048812072925368,Low,Iron World
HIP 97166 b,215.0,9.92,2021,20.0,5.972e+24,0.244,71492.0,0.089,0.028199865,0.16,Transit,4.88,0.88288,<0.5,No,Hot,Unknown,Medium,Medium,1.1944000000000002e+26,17444.048,26196390.21642563,Low,Medium,Unknown,Medium,0.9999887290101795,1.2068568985652577,Low,Mirror World
HIP 97166 c,215.0,9.92,2021,9.9,5.972e+24,0.278,71492.0,0.124,0.04599589,0.25,Radial Velocity,2.7522,1.23008,<0.5,No,Hot,Unknown,Medium,Low,5.91228e+25,19874.776,9989338.058627045,Low,Medium,Unknown,Unknown,0.9999840660711286,1.2068522356262066,Low,Storm World
HIP 97233 b,334.0,7.34,2014,20.13421,1.898e+27,1.08,71492.0,2.490819,2.9,0.63,Radial Velocity,21.7449468,18.28261146,>2,No,Cold,Low,Medium,Low,3.821473058e+28,77211.36,427813613.3633122,Low,High,Unknown,Medium,0.999668742278506,1.147549303803953,Extremely Low,Iron World
HN Pegasi b,59.0,5.97707,2006,21.9987,1.898e+27,1.051,71492.0,773.0,20692.2,0.0,Direct Imaging,23.1206337,4620.2751100000005,>2,No,Cold,Low,Medium,Low,4.17535326e+28,75138.09199999999,493581759.9212625,Low,High,Unknown,Medium,0.8970162465855962,1.0137355753157622,Extremely Low,Iron World
HR 2562 b,111.0,6.11,2016,30.0,1.898e+27,1.11,71492.0,20.3,80.3,0.0,Direct Imaging,33.300000000000004,124.03300000000002,>2,No,Cold,Low,Medium,Low,5.694e+28,79356.12000000001,603452115.5706319,Low,High,Unknown,Medium,0.9972960815484624,1.1170546438969924,Extremely Low,Iron World
HR 5183 b,103.0,6.33432,2019,3.23,1.898e+27,1.17,71492.0,18.0,74.0,0.84,Radial Velocity,3.7791,114.01776,>2,No,Cold,Low,Medium,Low,6.13054e+27,83645.64,58478781.64098861,Low,High,Unknown,Medium,0.9976025032575292,1.122489786626682,Extremely Low,Plateau World
HR 810 b,56.0,5.4,1999,2.27,1.898e+27,1.19,71492.0,0.92,0.82902116,0.14,Radial Velocity,2.7013,4.968000000000001,0.5-1,Yes,Temperate,Low,Medium,Low,4.30846e+27,85075.48,39728251.49164812,Unknown,High,Unknown,Medium,0.9998780175144254,1.1034035559478244,Extremely Low,Shadow World
HR 858 b,104.0,6.38,2019,5.0,5.972e+24,2.085,6371.0,0.048,0.009856262,0.3,Transit,10.425,0.30624,<0.5,No,Hot,Unknown,Medium,Medium,2.9860000000000004e+25,13283.535,11294023.236450791,Low,Low,Unknown,Unknown,0.9999941913102108,1.1259258754292834,Extremely Low,Shadow World
HR 858 c,104.0,6.38,2019,4.42,5.972e+24,1.939,6371.0,0.0674,0.016427105,0.19,Transit,8.57038,0.430012,<0.5,No,Hot,Unknown,Medium,Medium,2.639624e+25,12353.369,11544029.885474622,Low,Medium,Unknown,Medium,0.9999916067097082,1.1259232908287808,Extremely Low,Shadow World
HR 858 d,104.0,6.38,2019,5.32,5.972e+24,2.164,6371.0,0.1027,0.030663928,0.28,Transit,11.512480000000002,0.655226,<0.5,No,Hot,Unknown,Medium,Medium,3.1771040000000004e+25,13786.844,11155470.97663089,Low,Low,Unknown,Unknown,0.999986903802608,1.1259185879216809,Extremely Low,Shadow World
HR 8799 b,135.0,5.98,2008,7.0,1.898e+27,1.2,71492.0,68.0,465.8,0.0,Direct Imaging,8.4,406.64,>2,No,Cold,Low,Medium,Low,1.3286e+28,85790.4,120476700.4898618,Low,High,Unknown,Medium,0.9909411617560768,1.10772748028916,Extremely Low,Iron World
HR 8799 c,135.0,5.98,2008,10.0,1.898e+27,1.2,71492.0,38.0,189.0,0.5,Direct Imaging,12.0,227.24,>2,No,Cold,Low,Medium,Low,1.8980000000000002e+28,85790.4,172109572.12837404,Low,High,Unknown,Medium,0.9949379666569482,1.1117242851900315,Extremely Low,Iron World
HR 8799 d,135.0,5.98,2008,10.0,1.898e+27,1.2,71492.0,24.0,101.4,0.6,Direct Imaging,12.0,143.52,>2,No,Cold,Low,Medium,Low,1.8980000000000002e+28,85790.4,172109572.12837404,Low,High,Unknown,Medium,0.9968031422773548,1.1135894608104382,Extremely Low,Iron World
HR 8799 e,135.0,5.98,2010,10.0,1.898e+27,1.17,71492.0,16.4,57.0,0.15,Direct Imaging,11.7,98.072,>2,No,Cold,Low,Medium,Low,1.8980000000000002e+28,83645.64,181048859.56962425,Low,High,Unknown,Medium,0.9978156661855756,1.114601984718659,Extremely Low,Iron World
HU Aquarii AB b,627.0,16.183,2011,5.9,1.898e+27,1.14,71492.0,3.6,6.5,0.0,Eclipse Timing Variations,6.726,58.2588,>2,No,Cold,Low,Medium,Low,1.11982e+28,81500.87999999999,112514844.93710878,Low,High,Unknown,Medium,0.9995209696099476,1.349582700827653,Extremely High,Lava World
HU Aquarii AB c,627.0,16.183,2011,4.5,1.898e+27,1.15,71492.0,5.4,12.0,0.51,Eclipse Timing Variations,5.175,87.38820000000001,>2,No,Cold,Low,Medium,Low,8.541e+27,82215.79999999999,84330436.85382712,Low,High,Unknown,Medium,0.9992811613158952,1.3493428925336008,Extremely High,Lava World
IC 4651 9122 b,2803.0,10.909,2018,6.3,1.898e+27,1.14,71492.0,2.038,2.0,0.18,Radial Velocity,7.182,22.232542,>2,No,Cold,Low,Medium,Low,1.19574e+28,81500.87999999999,120142970.01759072,Low,High,Unknown,Medium,0.9997290699184528,1.2292091558848894,Low,Iron World
Iota Draconis b,102.0,3.29668,2002,11.82,1.898e+27,1.1,71492.0,1.453,1.4,0.7,Radial Velocity,13.002,4.79007604,1-2,Yes,Temperate,Low,Medium,Low,2.243436e+28,78641.20000000001,242102694.65145683,Unknown,High,Unknown,Medium,0.99980700761402,1.0552434701866114,Extremely Low,Iron World
Iota Draconis c,102.0,3.29668,2022,15.6,1.898e+27,1.09,71492.0,19.4,68.5,0.46,Radial Velocity,17.004,63.95559199999999,>2,No,Cold,Low,Medium,Low,2.96088e+28,77926.28,325416162.6371344,Low,High,Unknown,Medium,0.9974159856954884,1.05285244826808,Extremely Low,Iron World
K2-100 b,616.0,10.651,2016,21.8,5.972e+24,0.346,71492.0,0.0301,0.0046543465,0.0,Transit,7.5428,0.3205950999999999,<0.5,No,Hot,Unknown,Medium,Medium,1.301896e+26,24736.232,14200230.828280067,Low,High,Unknown,Medium,0.9999965760704682,1.2235779012339416,Low,Mirror World
K2-101 b,614.0,12.892,2016,4.66,5.972e+24,2.0,6371.0,0.1124,0.040246405,0.1,Transit,9.32,1.4490608,<0.5,No,Hot,Unknown,Medium,Low,2.782952e+25,12742.0,11439754.818230592,Low,Medium,Unknown,Medium,0.9999856115023568,1.2748038473613352,Moderately Low,Methane World
K2-102 b,614.0,13.083,2016,2.24,5.972e+24,1.3,6371.0,0.1028,0.027104722,0.1,Transit,2.9120000000000004,0.0720863,<0.5,No,Unknown,Unknown,Medium,Unknown,1.3377280000000002e+25,8282.300000000001,13015237.723969078,Unknown,Medium,Unknown,Medium,0.9999868904799252,1.29175026758669,Extremely Low,Rocky
K2-104 b,617.0,15.989,2016,3.86,5.972e+24,1.79,6371.0,0.0242,0.0054757018,0.09,Transit,6.9094,0.3869338,<0.5,No,Hot,Unknown,Medium,High,2.305192e+25,11404.09,11829653.770690553,Low,Medium,Unknown,Medium,0.9999973621087654,1.345623591017266,Extremely High,Lava World
K2-105 b,646.0,11.752,2017,30.0,5.972e+24,0.32,71492.0,0.0833,0.022724163,0.0,Transit,9.6,0.9789416,<0.5,No,Hot,Unknown,Medium,Medium,1.7916000000000002e+26,22877.44,22846117.49890308,Low,High,Unknown,Medium,0.9999894884031107,1.2487434323420197,Low,Mirror World
K2-107 b,2235.0,13.012,2017,0.84,1.898e+27,1.426,71492.0,0.0475,0.009034907,0.0,Transit,1.1978399999999998,0.61807,<0.5,No,Temperate,Low,Medium,Medium,1.5943199999999998e+27,101947.592,10237826.187596075,Unknown,Medium,Unknown,Low,0.9999942579236256,1.277556103458401,Moderately Low,Volcanic World
K2-108 b,1557.0,12.339,2017,0.18689,1.898e+27,0.476,71492.0,0.0581,0.012867898,0.18,Transit,0.0889596399999999,0.7168959,<0.5,No,Temperate,Low,Medium,Medium,3.5471722e+26,34030.191999999995,20442766.85372829,Low,High,Unknown,Medium,0.9999928457192274,1.2621676136555755,Somewhat Low,Radiation World
K2-10 b,888.0,12.429,2015,27.0,5.972e+24,0.343,71492.0,0.137,0.05284052,0.31,Transit,9.261,1.702773,<0.5,No,Hot,Unknown,Medium,Low,1.6124400000000002e+26,24521.756,17896439.31269205,Low,High,Unknown,Medium,0.9999823341223382,1.264214809315534,Somewhat Low,Rocky
K2-110 b,380.0,11.985,2017,16.7,5.972e+24,0.228,71492.0,0.1027,0.038056124,0.08,Transit,3.8076,1.2308595,<0.5,No,Hot,Unknown,Medium,Medium,9.97324e+25,16300.176,25051739.389378883,Low,Medium,Unknown,Medium,0.999986903802608,1.2540680231953558,Somewhat Low,Rocky
K2-111 b,654.0,11.13,2017,5.29,5.972e+24,1.82,6371.0,0.057,0.014784395,0.13,Transit,9.6278,0.63441,<0.5,No,Hot,Unknown,Medium,Medium,3.159188e+25,11595.22,15682080.80352506,Low,Medium,Unknown,Medium,0.9999929922687404,1.2345258927214362,Low,Jungle World
K2-111 c,654.0,11.13,2020,11.3,5.972e+24,0.301,71492.0,0.1166,0.04298426,0.07,Radial Velocity,3.4013,1.297758,<0.5,No,Hot,Unknown,Medium,Low,6.748360000000001e+25,21519.092,9726051.397641202,Low,Medium,Unknown,Unknown,0.9999850519496708,1.2345179524023664,Low,Mirror World
K2-113 b,2074.0,13.744,2017,1.29,1.898e+27,1.083,71492.0,0.0642,0.015879534,0.0,Transit,1.39707,0.8823647999999998,<0.5,No,Temperate,Low,Medium,High,2.44842e+27,77425.836,27258397.10199922,Low,High,Unknown,Medium,0.9999920330355644,1.2942898975927,Moderate,Rocky
K2-114 b,1552.0,14.55,2017,2.01,1.898e+27,0.932,71492.0,0.0943,0.031211497,0.08,Transit,1.87332,1.372065,<0.5,No,Temperate,Low,Medium,High,3.81498e+27,66630.54400000001,57349779.14130458,Low,High,Unknown,Medium,0.9999880229079804,1.3127137991208846,Moderately High,Rocky
K2-115 b,1349.0,13.444,2017,0.84,1.898e+27,1.076,71492.0,0.143,0.05557837,0.14,Transit,0.90384,1.922492,<0.5,No,Temperate,Low,Medium,Low,1.5943199999999998e+27,76925.392,17981348.589578733,Low,High,Unknown,Medium,0.999981534761358,1.2874203751290016,Moderately Low,Rocky
K2-116 b,161.0,10.8,2017,0.257,5.972e+24,0.69,6371.0,0.048,0.012867898,0.06,Transit,0.17733,0.5184000000000001,<0.5,No,Hot,Unknown,Unknown,Medium,1.534804e+24,4395.99,5300608.553735983,Low,Low,Unknown,Unknown,0.9999941913102108,1.2269821651544652,Low,Jungle World
K2-117 b,332.0,14.639,2017,4.78,5.972e+24,2.03,6371.0,0.0189,0.003559206,0.06,Transit,9.7034,0.2766771,<0.5,No,Hot,Unknown,Medium,High,2.8546160000000004e+25,12933.13,11390075.739974348,Low,Low,Unknown,Unknown,0.9999980682109646,1.3147586882667512,Moderately High,Radiation World
K2-117 c,332.0,14.639,2017,4.9,5.972e+24,2.06,6371.0,0.0492,0.014784395,0.15,Transit,10.094,0.7202388,<0.5,No,Hot,Unknown,Medium,High,2.9262800000000004e+25,13124.26,11338417.136581725,Low,Low,Unknown,Unknown,0.9999940314380148,1.314754651493801,Moderately High,Rocky
K2-118 b,1049.0,14.0,2017,6.99,5.972e+24,0.227,71492.0,0.245,0.13935661,0.2,Transit,1.5867300000000002,3.43,<0.5,No,Hot,Unknown,Medium,Low,4.1744280000000005e+25,16228.684,10578316.804708574,Low,Low,Unknown,Unknown,0.999967945624695,1.300118844156864,Moderate,Jungle World
K2-119 b,1193.0,14.818,2017,6.94,5.972e+24,0.226,71492.0,0.0698,0.021081451,0.07,Transit,1.56844,1.0342964,<0.5,No,Hot,Unknown,Medium,High,4.144568e+25,16157.192,10595798.729540592,Low,Low,Unknown,Unknown,0.999991286965316,1.3188444581208332,Moderately High,Plateau World
K2-11 b,1074.0,13.409,2015,0.14,1.898e+27,0.674,71492.0,0.2257,0.10924025,0.0,Transit,0.09436,3.0264113000000004,<0.5,No,Temperate,Low,Medium,Low,2.6572e+26,48185.608,7637931.508836081,Low,Medium,Unknown,Low,0.9999705169025146,1.2866091377813842,Moderately Low,Storm World
K2-120 b,944.0,14.092,2017,4.7,5.972e+24,2.01,6371.0,0.078,0.026283368,0.14,Transit,9.447,1.099176,<0.5,No,Hot,Unknown,Medium,High,2.8068400000000003e+25,12805.71,11423430.2502995,Low,Low,Unknown,Unknown,0.99999019450531,1.3022445271222562,Moderate,Radiation World
K2-121 b,553.0,13.229,2017,0.139,1.898e+27,0.671,71492.0,0.0629,0.014236824,0.22,Transit,0.093269,0.8321040999999999,<0.5,No,Temperate,Low,Medium,Medium,2.6382200000000003e+26,47971.132000000005,7651336.052739607,Low,Medium,Unknown,Low,0.9999922062304432,1.2825154125956175,Moderately Low,Rocky
K2-122 b,235.0,13.105,2017,1.65,5.972e+24,1.16,6371.0,0.0373,0.006023272,0.21,Transit,1.914,0.4888165,<0.5,No,Hot,Unknown,Medium,Medium,9.8538e+24,7390.36,12040894.65974014,Low,Medium,Unknown,Medium,0.999995616837292,1.2796837598708095,Moderately Low,Rocky
K2-123 b,527.0,14.781,2017,8.05,5.972e+24,0.246,71492.0,0.1649,0.08487337,0.06,Transit,1.9803,2.4373869,<0.5,No,Hot,Unknown,Medium,Low,4.8074600000000005e+25,17587.032,10373296.085165236,Low,Medium,Unknown,Unknown,0.9999786170937804,1.3179858419325932,Moderately High,Methane World
K2-124 b,458.0,16.692,2017,8.75,5.972e+24,0.259,71492.0,0.049,0.017522246,0.08,Transit,2.26625,0.8179080000000001,<0.5,No,Hot,Unknown,Medium,High,5.2255e+25,18516.428,10171842.637516413,Low,Medium,Unknown,Unknown,0.9999940580833808,1.3616932670092576,Extremely High,Lava World
K2-125 b,405.0,16.4,2017,5.39,5.972e+24,2.18,6371.0,0.121,0.059685145,0.08,Transit,11.7502,1.9844,<0.5,No,Hot,Unknown,Medium,Low,3.218908e+25,13888.78,11136957.67546461,Low,Low,Unknown,Unknown,0.9999844657516186,1.3550075577997232,Extremely High,Lava World
K2-126 b,336.0,12.759,2017,4.54,5.972e+24,1.97,6371.0,0.0656,0.020260096,0.06,Transit,8.9438,0.8369904000000001,<0.5,No,Hot,Unknown,Medium,Medium,2.711288e+25,12550.87,11487200.244526904,Low,Medium,Unknown,Medium,0.9999918465180022,1.2717692483196392,Somewhat Low,Plateau World
K2-127 b,2316.0,15.041,2017,0.167,1.898e+27,0.747,71492.0,0.0411,0.009856262,0.12,Transit,0.124749,0.6181850999999999,<0.5,No,Temperate,Low,Medium,High,3.16966e+26,53404.524,7417247.733536804,Low,Medium,Unknown,Low,0.999995110575338,1.323946823045044,Somewhat High,Nomad Planet
K2-128 b,374.0,12.58,2017,2.6,5.972e+24,1.42,6371.0,0.056,0.015605749,0.23,Transit,3.692,0.70448,<0.5,No,Hot,Unknown,Medium,Medium,1.5527200000000002e+25,9046.82,12661566.79494222,Low,Medium,Unknown,Medium,0.9999931254955704,1.2676779761974777,Somewhat Low,Rocky
K2-129 b,91.0,13.639,2017,1.12,5.972e+24,1.04,6371.0,0.057,0.022450376,0.13,Transit,1.1648,0.777423,<0.5,No,Hot,Unknown,Unknown,High,6.688640000000001e+24,6625.84,10168154.471850846,Low,Low,Unknown,Unknown,0.9999929922687404,1.291890198359554,Moderate,Rocky
K2-12 b,1065.0,12.38,2015,6.04,5.972e+24,0.208,71492.0,0.0802,0.022724163,0.0,Transit,1.25632,0.992876,<0.5,No,Hot,Unknown,Medium,Medium,3.607088e+25,14870.336,10886828.378175508,Low,Low,Unknown,Unknown,0.9999899014062836,1.263102069315196,Somewhat Low,Volcanic World
K2-130 b,385.0,12.676,2017,2.1,5.972e+24,1.25,6371.0,0.032,0.0068446267,0.17,Transit,2.625,0.405632,<0.5,No,Hot,Unknown,Medium,Medium,1.25412e+25,7963.75,13197451.052104648,Low,Medium,Unknown,Medium,0.9999963229394911,1.2698760613820357,Somewhat Low,Nomad Planet
K2-131 b,497.0,12.129,2017,6.3,5.972e+24,1.5,6371.0,0.0095,0.0010951404,0.0,Transit,9.45,0.1152255,<0.5,No,Hot,Unknown,Medium,Medium,3.76236e+25,9556.5,27494689.691884685,Low,Medium,Unknown,Medium,0.9999993205431668,1.2573727715468708,Somewhat Low,Rocky
K2-132 b,1989.0,12.071,2017,0.49,1.898e+27,1.3,71492.0,0.0916,0.025188226,0.29,Transit,0.637,1.1057036,<0.5,No,Temperate,Low,Medium,Medium,9.3002e+26,92939.6,7185829.2363183815,Unknown,Medium,Unknown,Low,0.9999883826204214,1.2560357556141568,Somewhat Low,Rocky
K2-133 b,245.0,14.073,2017,2.36,5.972e+24,1.34,6371.0,0.03194,0.008487337,0.0,Transit,3.1624,0.44949162,<0.5,No,Hot,Unknown,Medium,High,1.409392e+25,8537.140000000001,12906045.665763898,Low,Medium,Unknown,Medium,0.999996330933101,1.3018162586847128,Moderate,Rocky
K2-133 c,245.0,14.073,2017,3.2,5.972e+24,1.603,6371.0,0.04341,0.013415469,0.0,Transit,5.1296,0.61090893,<0.5,No,Hot,Unknown,Medium,High,1.91104e+25,10212.713,12228515.11845229,Low,Medium,Unknown,Medium,0.9999948028213606,1.3018147305729724,Moderate,Volcanic World
K2-133 d,245.0,14.073,2017,4.67,5.972e+24,2.003,6371.0,0.07487,0.030116359,0.0,Transit,9.35401,1.0536455100000002,<0.5,No,Hot,Unknown,Medium,High,2.788924e+25,12761.113,11429987.966938885,Low,Medium,Unknown,Medium,0.999990611505288,1.3018105392568995,Moderate,Nomad Planet
K2-133 e,245.0,14.073,2019,3.64,5.972e+24,1.73,6371.0,0.1346,0.07282683,0.0,Transit,6.2972,1.8942258,<0.5,No,Hot,Unknown,Medium,Low,2.1738080000000003e+25,11021.83,11942629.756908046,Low,Medium,Unknown,Medium,0.9999826538667302,1.301802581618342,Moderate,Methane World
K2-136 b,193.0,11.101,2017,0.937,5.972e+24,0.99,6371.0,0.1028,0.021902807,0.1,Transit,0.92763,0.0720863,<0.5,No,Unknown,Unknown,Unknown,Unknown,5.595764e+24,6307.29,9387717.084734775,Unknown,Low,Unknown,Unknown,0.9999868904799252,1.29175026758669,Extremely Low,Magnetic World
K2-136 c,193.0,11.101,2017,8.8,5.972e+24,0.26,71492.0,0.11728,0.047364816,0.13,Transit,2.2880000000000003,1.30192528,<0.5,No,Hot,Unknown,Medium,Low,5.2553600000000005e+25,18587.92,10151426.726139808,Low,Medium,Unknown,Unknown,0.9999849613554264,1.233854822803138,Low,Mirror World
K2-136 d,193.0,11.101,2017,2.7,5.972e+24,1.45,6371.0,0.1028,0.07008898,0.14,Transit,3.915,0.0720863,<0.5,No,Unknown,Unknown,Medium,Unknown,1.6124400000000002e+25,9237.95,12610100.589109676,Unknown,Medium,Unknown,Medium,0.9999868904799252,1.29175026758669,Extremely Low,Mirror World
K2-137 b,323.0,15.94,2017,0.5,1.898e+27,0.64,6371.0,0.0058,0.0005475702,0.0,Transit,0.32,0.0924519999999999,<0.5,No,Hot,Unknown,Unknown,High,9.49e+26,4077.44,3809581390.8683,Low,Medium,Unknown,Medium,0.999999813482438,1.344505735106655,Extremely High,Lava World
K2-138 b,661.0,12.246,2017,3.1,5.972e+24,1.51,6371.0,0.03385,0.006570842,0.05,Transit,4.681,0.4145271,<0.5,No,Hot,Unknown,Medium,Medium,1.85132e+25,9620.21,13350532.565119715,Low,Medium,Unknown,Medium,0.9999960764698556,1.2600445469074617,Somewhat Low,Plateau World
K2-138 c,661.0,12.246,2017,6.31,5.972e+24,0.205,71492.0,0.04461,0.009856262,0.05,Transit,1.2935499999999998,0.54629406,<0.5,No,Hot,Unknown,Medium,Medium,3.768332e+25,14655.86,11708809.633322408,Low,Medium,Unknown,Medium,0.9999946429491644,1.2600431133867702,Somewhat Low,Tidally Locked World
K2-138 d,661.0,12.246,2017,7.92,5.972e+24,0.213,71492.0,0.05893,0.014784395,0.04,Transit,1.68696,0.7216567800000001,<0.5,No,Hot,Unknown,Medium,Medium,4.729824000000001e+25,15227.796,13613101.501429304,Low,Medium,Unknown,Medium,0.9999927351409584,1.2600412055785644,Somewhat Low,Rocky
K2-138 e,661.0,12.246,2017,12.97,5.972e+24,0.302,71492.0,0.0782,0.022724163,0.08,Transit,3.91694,0.9576372,<0.5,No,Hot,Unknown,Medium,Medium,7.745684e+25,21590.584,11089633.620449085,Low,Medium,Unknown,Unknown,0.999990167859944,1.2600386382975497,Somewhat Low,Maelstrom World
K2-138 f,661.0,12.246,2017,1.63,5.972e+24,0.259,71492.0,0.10447,0.03504449,0.06,Transit,0.42217,1.27933962,<0.5,No,Hot,Unknown,Unknown,Low,9.73436e+24,18516.428,1894868.9713316285,Low,Medium,Unknown,Unknown,0.999986667991119,1.2600351384287247,Somewhat Low,Titanium World
K2-138 g,661.0,12.246,2021,4.32,5.972e+24,0.269,71492.0,0.23109,0.114989735,0.06,Transit,1.1620800000000002,2.82992814,<0.5,No,Hot,Unknown,Medium,Low,2.579904e+25,19231.348,4655542.491007933,Low,Medium,Unknown,Unknown,0.9999697988099008,1.2600182692475064,Somewhat Low,Storm World
K2-139 b,502.0,11.652,2017,0.387,1.898e+27,0.813,71492.0,0.1796,0.07775496,0.12,Transit,0.314631,2.0926992,<0.5,No,Temperate,Low,Medium,Low,7.34526e+26,58122.996,14511001.628775366,Low,High,Unknown,Medium,0.9999766586593788,1.2464442612017903,Low,Mirror World
K2-13 b,1117.0,12.882,2015,4.23,5.972e+24,1.89,6371.0,0.2114,0.10924025,0.0,Transit,7.994700000000001,2.7232548,<0.5,No,Hot,Unknown,Medium,Low,2.5261560000000005e+25,12041.19,11628067.662946591,Low,Medium,Unknown,Medium,0.999972422046184,1.2745620237655126,Moderately Low,Titanium World
K2-140 b,1135.0,12.727,2017,0.93,1.898e+27,1.21,71492.0,0.068,0.018069815,0.0,Transit,1.1253,0.8654360000000001,<0.5,No,Temperate,Low,Medium,Medium,1.76514e+27,86505.31999999999,15742718.324862951,Unknown,High,Unknown,Medium,0.99999152677361,1.271037299328368,Somewhat Low,Titanium World
K2-141 b,202.0,11.454,2018,5.08,5.972e+24,1.51,6371.0,0.00716,0.00082135526,0.0,Transit,7.6708,0.08201064,<0.5,No,Hot,Unknown,Medium,Medium,3.033776e+25,9620.21,21877646.91316392,Low,Medium,Unknown,Medium,0.9999996322939492,1.241940278871296,Low,Mirror World
K2-141 c,202.0,11.454,2018,7.4,5.972e+24,0.624,71492.0,0.1028,0.021081451,0.0,Transit,4.6176,0.0720863,<0.5,No,Unknown,Unknown,Medium,Unknown,4.41928e+25,44611.008,1482018.5798104994,Unknown,Medium,Unknown,Unknown,0.9999868904799252,1.29175026758669,Extremely Low,Magnetic World
K2-146 b,259.0,16.7,2018,5.77,5.972e+24,2.05,6371.0,0.0248,0.007118412,0.13,Transit,11.828499999999998,0.41416,<0.5,No,Hot,Unknown,Medium,High,3.445844e+25,13060.55,13482141.541784195,Low,Medium,Unknown,Medium,0.9999972821726674,1.361879398410264,Extremely High,Lava World
K2-146 c,259.0,16.7,2019,7.49,5.972e+24,2.19,6371.0,0.0327,0.0109514035,0.08,Transit,16.4031,0.54609,<0.5,No,Hot,Unknown,Medium,High,4.473028e+25,13952.49,15335021.147555623,Low,Medium,Unknown,Medium,0.9999962296807102,1.3618783459183068,Extremely High,Lava World
