name,distance,stellar_magnitude,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,size_score,star_planet_interaction,orbital_radius_bin,habitable_zone,planet_surface_temperature,atmospheric_pressure,biosignature_potential,radiation_exposure,approximated_mass,approximated_radius,planet_gravity,climate_stability,possibility_of_moon,planetary_composition_hypothesis,atmospheric_density,normalized_orbital_radius,energy_receipt_score,planetary_energy_receipt,combined_planetary_composition_hypothesis
2MASS J22362452+4751425 b,227.0,12.368,2016,12.5,1.898e+27,1.1,71492.0,230.0,4505.7,0.0,Direct Imaging,13.750000000000002,2844.64,>2,No,Cold,Low,Medium,Low,2.3725e+28,78641.20000000001,256030768.4554323,Low,High,Unknown,Medium,0.9693584152913706,1.232196222232703,Low,Iron World
30 Arietis B b,146.0,7.09209,2009,13.82,1.898e+27,1.1,71492.0,0.99,0.9174538,0.29,Radial Velocity,15.202000000000002,7.0211691,0.5-1,Yes,Temperate,Low,Medium,Low,2.623036e+28,78641.20000000001,283067617.60432595,Unknown,High,Unknown,Medium,0.9998686916363234,1.142081184205714,Extremely Low,Iron World
42 Draconis b,296.0,4.8262,2008,3.88,1.898e+27,1.16,71492.0,1.19,1.3117043,0.38,Radial Velocity,4.5008,5.743178,1-2,Yes,Temperate,Low,Medium,Low,7.36424e+27,82930.72,71463332.44616908,Unknown,High,Unknown,Medium,0.9998420462703176,1.090248557770615,Extremely Low,Shadow World
47 Ursae Majoris b,45.0,5.03352,1996,2.53,1.898e+27,1.18,71492.0,2.1,3.0,0.03,Radial Velocity,2.9854,10.570392000000002,>2,No,Cold,Low,Medium,Low,4.80194e+27,84360.56,45032289.08202328,Low,High,Unknown,Medium,0.9997208098549912,1.0948673643385065,Extremely Low,Radiation World
47 Ursae Majoris c,45.0,5.03352,2001,0.54,1.898e+27,1.27,71492.0,3.6,6.6,0.1,Radial Velocity,0.6858000000000001,18.120672000000003,>2,No,Cold,Low,Medium,Low,1.02492e+27,90794.84,8297625.599046663,Low,Medium,Unknown,Low,0.9995209696099476,1.094667524093463,Extremely Low,Titanium World
47 Ursae Majoris d,45.0,5.03352,2009,1.64,1.898e+27,1.2,71492.0,11.6,38.4,0.16,Radial Velocity,1.968,58.388832,>2,No,Cold,Low,Medium,Low,3.11272e+27,85790.4,28225969.82905334,Low,High,Unknown,Medium,0.9984551549697152,1.0936017094532309,Extremely Low,Shadow World
4 Ursae Majoris b,240.0,4.5801,2006,7.1,1.898e+27,1.13,71492.0,0.87,0.7373032,0.43,Radial Velocity,8.023,3.984687,0.5-1,Yes,Temperate,Low,Medium,Low,1.34758e+28,80785.95999999999,137806270.29841775,Unknown,High,Unknown,Medium,0.9998846788559268,1.084664504179444,Extremely Low,Iron World
51 Eridani b,97.0,5.21149,2015,2.0,1.898e+27,1.19,71492.0,13.2,32.0,0.45,Direct Imaging,2.38,68.791668,>2,No,Cold,Low,Medium,Low,3.796e+27,85075.48,35002864.75035076,Low,High,Unknown,Medium,0.9982419920416686,1.0974575483085305,Extremely Low,Magnetic World
51 Pegasi b,50.0,5.45309,1995,0.46,1.898e+27,1.27,71492.0,0.0527,0.011498973,0.01,Radial Velocity,0.5842,0.287377843,<0.5,No,Temperate,Low,Medium,Medium,8.730800000000001e+26,90794.84,7068347.732521232,Unknown,Medium,Unknown,Low,0.9999935651441096,1.104732922224909,Extremely Low,Methane World
55 Cancri b,41.0,5.95084,1996,0.8306,1.898e+27,1.24,71492.0,0.1134,0.040246405,0.0,Radial Velocity,1.029944,0.6748252560000001,<0.5,No,Temperate,Low,Medium,Low,1.5764788e+27,88650.08,13388011.399463547,Unknown,High,Unknown,Medium,0.9999854782755268,1.1161050996573916,Extremely Low,Shadow World
